// JOGOS
// Version 1.05
// File Date:2025/07/15 19:05:11
// (C) 2019-2023 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS
Type=INFINITY

[Head]
SondeName=AEM-USB
SondeNo=1919
SensorType=T0R0R1X0Y0B0
SensorType2=030101020202
Channel=6
Comment=Kelompok 13 dan 14
MeasMode=1

PreHeat=3000
Interval=1000
BurstCnt=10
BurstTime=1
WiperInterval=0
DelayTime=0
BuzzerEN=1
BuzzerInterval=1
BuzzerNumber=3
SampleCnt=6950

StartTime=2025/07/15 07:30:00
EndTime=2025/07/15 19:04:09

DepAdjRho=0.0000

ECA=0
ECB=0
ECDeg=0
ECCoef=0.000

CHLA=0
CHLB=0

AlphaData=0.1
BetaData=-3.11

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2021/11/11

Ch1=-1.359212e+01,+1.340604e-03,-1.266932e-08,+1.499809e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=-1.247062e+00,-1.303731e-05,+2.376205e-09,-2.434040e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch3=-1.135576e+00,-2.468658e-05,+2.747151e-09,-2.820625e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch4=-6.008107e+02,+1.832601e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=-6.050220e+02,+1.845396e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch6=0.000000000e00,1.152000000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Vel. [cm/sec],Dir. [°],Vel.-NS [cm/sec],Vel.-EW [cm/sec],Temp. [℃],Comp A,Comp B,Compass [°],Vel.-X [cm/sec],Vel.-Y [cm/sec],Batt. [V]
2025/07/15 07:38:07,7.270,309.595,4.633,-5.602,28.153,0.8,0.6,52.051,-6.97,-1.54,2.97,
2025/07/15 07:38:08,53.766,53.151,32.244,43.025,28.158,0.8,0.6,52.030,1.05,53.75,2.97,
2025/07/15 07:38:09,38.804,312.448,26.190,-28.633,28.162,0.8,0.6,52.036,-37.85,-6.39,2.97,
2025/07/15 07:39:00,45.289,294.140,18.521,-41.328,28.099,0.5,-0.8,144.202,21.10,-36.46,2.98,
2025/07/15 07:39:01,12.287,336.958,11.306,-4.809,28.099,0.0,-1.0,179.675,4.52,-10.79,2.97,
2025/07/15 07:39:02,117.968,87.446,5.256,117.850,28.095,-0.1,-1.0,182.138,-117.26,-9.62,2.97,
2025/07/15 07:39:03,32.198,133.132,-22.013,23.497,28.093,0.1,-1.0,171.083,-18.10,23.21,2.97,
2025/07/15 07:39:04,118.733,161.478,-112.583,37.717,28.090,0.1,-1.0,169.869,-17.18,116.49,2.98,
2025/07/15 07:39:05,39.324,322.956,31.387,-23.690,28.087,0.1,-1.0,169.888,16.72,-32.91,2.97,
2025/07/15 07:39:06,35.445,6.261,35.234,3.865,28.085,0.1,-1.0,169.286,-10.04,-32.88,2.97,
2025/07/15 07:39:07,125.365,93.949,-8.633,125.067,28.085,0.1,-1.0,168.487,-117.72,32.56,2.97,
2025/07/15 07:39:08,61.406,83.138,7.337,60.966,28.082,0.1,-1.0,173.559,-61.40,-0.45,2.97,
2025/07/15 07:39:09,110.091,327.118,92.453,-59.770,28.083,0.1,-1.0,170.470,41.44,-95.99,2.97,
2025/07/15 07:40:00,126.123,170.222,-124.291,21.419,28.035,0.1,-1.0,171.243,-2.25,126.09,2.98,
2025/07/15 07:40:01,57.951,124.601,-32.908,47.701,28.036,0.1,-1.0,171.891,-38.73,35.75,2.97,
2025/07/15 07:40:02,66.095,188.613,-65.350,-9.899,28.039,0.1,-1.0,172.713,17.62,61.85,2.97,
2025/07/15 07:40:03,84.469,200.785,-78.972,-29.975,28.036,0.1,-1.0,173.171,36.68,70.12,2.97,
2025/07/15 07:40:04,76.135,139.061,-57.513,49.887,28.036,0.1,-1.0,173.266,-39.39,57.95,2.97,
